time,AVG(avg_bikes),AVG(avg_fill_ratio),AVG(median_bikes)
06:59,0.9090909090909091,0.05050505050505052,1.0
07:00,2.8181818181818183,0.1590909090909091,2.5
07:01,5.136363636363637,0.249686004784689,5.0
07:02,4.404040404040404,0.1675723943926692,4.0
07:03,6.968181818181818,0.2527010210457198,6.0
07:04,5.984848484848484,0.23461110810240646,4.0
07:05,6.444281524926686,0.26025624029384564,6.0
07:06,7.875494071146245,0.27111629575847285,6.0
07:07,7.651278409090909,0.26691370603228526,5.0
07:08,8.973484848484848,0.2982925815442887,6.0
07:09,9.550609184629803,0.3050638782929611,7.0
07:10,9.419096626643796,0.30728252501446046,7.0
07:11,10.046511627906977,0.3035159906771467,7.0
07:12,8.946969696969697,0.2677137810760243,6.0
07:13,10.856060606060606,0.33260616479710037,7.0
07:14,10.022727272727273,0.31977116862547356,10.0
07:15,10.282828282828282,0.3617291105916747,10.0
07:16,12.078282828282829,0.33177589709291283,11.0
07:17,6.928321678321678,0.31547072064528975,5.0
07:18,10.928571428571429,0.37544161887060296,9.0
07:19,11.718181818181819,0.3789780059452785,10.0
07:20,11.233333333333333,0.37580632880632886,10.0
07:21,8.336363636363636,0.3037618957204827,6.0
07:22,10.741140215716486,0.3322919218227391,8.0
07:23,14.558080808080808,0.42750196351611247,12.0
07:24,11.154829545454545,0.3092075527410819,8.0
07:25,11.678030303030303,0.3634512919589782,10.5
07:26,12.628246753246753,0.4063505594768532,11.0
07:27,15.659090909090908,0.4149918404954081,15.0
07:28,11.810276679841897,0.3388069423406585,10.0
07:29,11.475,0.38700825423555185,10.0
07:30,10.297979797979798,0.33625318019290124,9.0
07:31,19.40495867768595,0.4151156687483155,18.0
07:32,13.870553359683795,0.3730557239578735,11.0
07:33,13.682588597842836,0.3860787005166841,11.0
07:34,14.523809523809524,0.392081838069305,11.0
07:35,12.30560928433269,0.3425037810573458,10.0
07:36,9.675189393939394,0.3159799587472189,7.0
07:37,14.664772727272727,0.4409354463887354,12.0
07:38,13.212121212121213,0.3617635499175745,13.0
07:39,18.814685314685313,0.508368620900143,19.0
07:40,12.433155080213904,0.3893791286027729,9.0
07:41,10.74090909090909,0.3809969081844085,7.0
07:42,14.322727272727272,0.3692891631994484,10.0
07:43,14.037878787878787,0.378424405419124,11.0
08:03,8.051282051282051,0.2514694944182125,2.5
08:04,3.394230769230769,0.1062322635129652,1.0
08:05,5.668269230769231,0.22546505529177246,4.0
08:06,4.590729783037475,0.1937071460172797,3.0
08:07,5.194139194139194,0.2045989333997512,3.0
08:08,5.371320037986704,0.1919604103969306,3.0
08:09,6.752525252525253,0.22423542435402932,4.0
08:10,8.252933507170795,0.2837841494360569,5.0
08:11,9.692561563848692,0.3299020384891515,6.0
08:12,13.58822695035461,0.4015002381882129,10.0
08:13,14.88186563233252,0.43566297258017606,11.0
09:03,8.176271186440678,0.3326399300349826,6.0
09:04,2.801155115511551,0.11845795496565222,2.0
09:05,4.243341404358354,0.1433902267465779,3.0
09:06,6.240426867545511,0.22464895943550323,4.0
09:07,4.672316384180791,0.18272340706158188,3.0
09:08,6.885478699038021,0.23323743768990202,4.0
09:09,7.1638726690525525,0.2296349294248437,4.0
09:10,10.123961448986375,0.3361414579229009,6.0
09:11,10.432575081772228,0.3424542815028011,7.0
09:12,13.233037728918507,0.41857672063416157,10.0
09:13,17.560974675299796,0.49313706321758455,14.0
10:01,3.5494505494505493,0.15597660481281167,2.0
10:02,6.763428571428571,0.22447227093881045,4.0
10:03,4.5082058464411405,0.1936203910083233,1.5
10:04,4.729874084249084,0.15962257615808856,1.5
10:05,4.475364691331078,0.16014057573819657,3.0
10:06,5.884049487275294,0.20552724841479136,3.0
10:07,7.055145787545788,0.2550012952089792,3.5
10:08,7.855659462938408,0.2682006955377134,5.0
10:09,10.522510695411459,0.3256322752870632,7.0
10:10,13.01773876758827,0.4124297502263643,9.5
10:11,14.136081769609497,0.41257996078148507,10.0
10:12,13.289536684973948,0.4217745502164141,11.0
10:13,17.035989392600076,0.4857553503569579,13.0
12:00,3.0,0.08823529411764706,3.0
12:01,3.875,0.133603100901488,1.0
12:02,3.0980392156862746,0.10960225821535201,1.0
12:03,6.098765432098766,0.21972346000951687,4.0
12:04,3.773879758393033,0.13723582771626716,2.5
12:05,4.855820105820106,0.17457900372481203,2.0
12:06,5.868152006172839,0.19991025606327442,3.0
12:07,6.4182353841444755,0.21909139480902606,3.5
